,sceneDateString,platform,granuleName,dt
0,2014-10-20,Sentinel-1A,S1A_IW_SLC__1SSV_20141020T140616_20141020T140643_002914_0034DD_E484,
1,2014-11-13,Sentinel-1A,S1A_IW_SLC__1SSV_20141113T140501_20141113T140528_003264_003C67_CBA5,24.0
2,2014-12-07,Sentinel-1A,S1A_IW_SLC__1SSV_20141207T140501_20141207T140528_003614_004465_1377,24.0
3,2014-12-31,Sentinel-1A,S1A_IW_SLC__1SSV_20141231T140500_20141231T140527_003964_004C56_1B1C,24.0
4,2015-01-24,Sentinel-1A,S1A_IW_SLC__1SSV_20150124T140459_20150124T140526_004314_00541A_DB9C,24.0
5,2015-02-17,Sentinel-1A,S1A_IW_SLC__1SSV_20150217T140459_20150217T140526_004664_005C1A_0228,24.0
6,2015-03-01,Sentinel-1A,S1A_IW_SLC__1SSV_20150301T140459_20150301T140526_004839_00605B_FE74,12.0
7,2015-03-25,Sentinel-1A,S1A_IW_SLC__1SSV_20150325T140459_20150325T140526_005189_0068C0_08E8,24.0
8,2015-04-18,Sentinel-1A,S1A_IW_SLC__1SSV_20150418T140500_20150418T140527_005539_00714E_1B8E,24.0
9,2015-05-12,Sentinel-1A,S1A_IW_SLC__1SSV_20150512T140501_20150512T140528_005889_007958_E67B,24.0
10,2015-06-05,Sentinel-1A,S1A_IW_SLC__1SSV_20150605T140503_20150605T140530_006239_008284_E268,24.0
11,2015-06-29,Sentinel-1A,S1A_IW_SLC__1SSV_20150629T140505_20150629T140532_006589_008C6D_7CE2,24.0
12,2015-07-23,Sentinel-1A,S1A_IW_SLC__1SSV_20150723T140505_20150723T140532_006939_00963C_ABA2,24.0
13,2015-08-16,Sentinel-1A,S1A_IW_SLC__1SSV_20150816T140506_20150816T140533_007289_009FE6_257E,24.0
14,2015-09-09,Sentinel-1A,S1A_IW_SLC__1SSV_20150909T140507_20150909T140534_007639_00A972_7D75,24.0
15,2015-10-03,Sentinel-1A,S1A_IW_SLC__1SSV_20151003T140508_20151003T140535_007989_00B2CA_3B7F,24.0
16,2015-10-27,Sentinel-1A,S1A_IW_SLC__1SSV_20151027T140508_20151027T140535_008339_00BC45_B231,24.0
17,2015-11-20,Sentinel-1A,S1A_IW_SLC__1SSV_20151120T140502_20151120T140529_008689_00C5C0_7627,24.0
18,2015-12-14,Sentinel-1A,S1A_IW_SLC__1SSV_20151214T140501_20151214T140528_009039_00CF82_5D35,24.0
19,2016-01-07,Sentinel-1A,S1A_IW_SLC__1SSV_20160107T140500_20160107T140527_009389_00D977_06F4,24.0
20,2016-01-31,Sentinel-1A,S1A_IW_SLC__1SSV_20160131T140500_20160131T140527_009739_00E3A3_463E,24.0
21,2016-02-24,Sentinel-1A,S1A_IW_SLC__1SSV_20160224T140459_20160224T140526_010089_00EDD9_0D32,24.0
22,2016-03-19,Sentinel-1A,S1A_IW_SLC__1SSV_20160319T140500_20160319T140527_010439_00F7BD_3B45,24.0
23,2016-04-12,Sentinel-1A,S1A_IW_SLC__1SSV_20160412T140501_20160412T140528_010789_0101FE_4267,24.0
24,2016-05-06,Sentinel-1A,S1A_IW_SLC__1SSV_20160506T140502_20160506T140529_011139_010CD3_A2FC,24.0
25,2016-05-30,Sentinel-1A,S1A_IW_SLC__1SSV_20160530T140503_20160530T140530_011489_011835_835A,24.0
26,2016-08-10,Sentinel-1A,S1A_IW_SLC__1SSV_20160810T140507_20160810T140534_012539_013A18_2AF7,72.0
27,2016-09-03,Sentinel-1A,S1A_IW_SLC__1SSV_20160903T140508_20160903T140535_012889_0145CF_B6B2,24.0
28,2016-09-27,Sentinel-1A,S1A_IW_SLC__1SSV_20160927T140514_20160927T140543_013239_015130_F5D4,24.0
29,2016-10-09,Sentinel-1A,S1A_IW_SLC__1SSV_20161009T140507_20161009T140524_013414_0156AD_0D1F,12.0
30,2016-10-21,Sentinel-1A,S1A_IW_SLC__1SSV_20161021T140513_20161021T140543_013589_015C38_CD07,12.0
31,2016-11-02,Sentinel-1A,S1A_IW_SLC__1SSV_20161102T140507_20161102T140524_013764_01619F_EA8D,12.0
32,2016-11-14,Sentinel-1A,S1A_IW_SLC__1SSV_20161114T140513_20161114T140543_013939_01671F_C610,12.0
33,2016-11-26,Sentinel-1A,S1A_IW_SLC__1SSV_20161126T140507_20161126T140524_014114_016C6E_F311,12.0
34,2016-12-08,Sentinel-1A,S1A_IW_SLC__1SSV_20161208T140513_20161208T140543_014289_0171FB_568E,12.0
35,2016-12-20,Sentinel-1A,S1A_IW_SLC__1SSV_20161220T140506_20161220T140523_014464_017774_826F,12.0
36,2017-01-01,Sentinel-1A,S1A_IW_SLC__1SSV_20170101T140511_20170101T140541_014639_017CDB_D01F,12.0
37,2017-01-13,Sentinel-1A,S1A_IW_SLC__1SSV_20170113T140504_20170113T140521_014814_01822B_0F94,12.0
38,2017-01-19,Sentinel-1B,S1B_IW_SLC__1SDV_20170119T140548_20170119T140618_003918_006BFF_EFE8,6.0
39,2017-01-25,Sentinel-1A,S1A_IW_SLC__1SSV_20170125T140510_20170125T140540_014989_01879A_A01C,6.0
40,2017-02-18,Sentinel-1A,S1A_IW_SLC__1SDV_20170218T140510_20170218T140539_015339_019272_B7EE,24.0
41,2017-02-24,Sentinel-1B,S1B_IW_SLC__1SSV_20170224T140421_20170224T140449_004443_007BAF_2FDC,6.0
42,2017-03-02,Sentinel-1A,S1A_IW_SLC__1SDV_20170302T140509_20170302T140539_015514_0197C3_6E59,6.0
43,2017-03-08,Sentinel-1B,S1B_IW_SLC__1SSV_20170308T140421_20170308T140449_004618_0080CE_1A1F,6.0
44,2017-03-14,Sentinel-1A,S1A_IW_SLC__1SDV_20170314T140510_20170314T140540_015689_019D14_F413,6.0
45,2017-03-20,Sentinel-1B,S1B_IW_SLC__1SSV_20170320T140421_20170320T140449_004793_0085F3_61AF,6.0
46,2017-03-26,Sentinel-1A,S1A_IW_SLC__1SDV_20170326T140510_20170326T140540_015864_01A243_AFEA,6.0
47,2017-04-01,Sentinel-1B,S1B_IW_SLC__1SSV_20170401T140422_20170401T140450_004968_008AFC_74BC,6.0
48,2017-04-07,Sentinel-1A,S1A_IW_SLC__1SDV_20170407T140510_20170407T140540_016039_01A77A_847F,6.0
49,2017-04-13,Sentinel-1B,S1B_IW_SLC__1SSV_20170413T140422_20170413T140450_005143_008FFF_D1A8,6.0
50,2017-04-19,Sentinel-1A,S1A_IW_SLC__1SDV_20170419T140511_20170419T140541_016214_01ACDC_6B70,6.0
51,2017-04-25,Sentinel-1B,S1B_IW_SLC__1SSV_20170425T140423_20170425T140451_005318_00951B_C06B,6.0
52,2017-05-01,Sentinel-1A,S1A_IW_SLC__1SDV_20170501T140512_20170501T140541_016389_01B229_A2BB,6.0
53,2017-05-07,Sentinel-1B,S1B_IW_SLC__1SSV_20170507T140423_20170507T140451_005493_009A02_0BE7,6.0
54,2017-05-13,Sentinel-1A,S1A_IW_SLC__1SDV_20170513T140512_20170513T140542_016564_01B775_9D8E,6.0
55,2017-05-19,Sentinel-1B,S1B_IW_SLC__1SDV_20170519T140424_20170519T140452_005668_009ED7_8944,6.0
56,2017-05-25,Sentinel-1A,S1A_IW_SLC__1SDV_20170525T140551_20170525T140621_016739_01BCD5_6197,6.0
57,2017-05-31,Sentinel-1B,S1B_IW_SLC__1SDV_20170531T140425_20170531T140452_005843_00A3E5_D254,6.0
58,2017-06-06,Sentinel-1A,S1A_IW_SLC__1SDV_20170606T140552_20170606T140622_016914_01C24D_3B1E,6.0
59,2017-06-12,Sentinel-1B,S1B_IW_SLC__1SDV_20170612T140426_20170612T140453_006018_00A901_08E1,6.0
60,2017-06-18,Sentinel-1A,S1A_IW_SLC__1SDV_20170618T140553_20170618T140623_017089_01C7AF_2B33,6.0
61,2017-06-24,Sentinel-1B,S1B_IW_SLC__1SDV_20170624T140426_20170624T140454_006193_00AE1A_7433,6.0
62,2017-06-30,Sentinel-1A,S1A_IW_SLC__1SDV_20170630T140554_20170630T140623_017264_01CCF5_83F0,6.0
63,2017-07-06,Sentinel-1B,S1B_IW_SLC__1SDV_20170706T140427_20170706T140455_006368_00B30B_DC8D,6.0
64,2017-07-12,Sentinel-1A,S1A_IW_SLC__1SDV_20170712T140554_20170712T140624_017439_01D244_D1B3,6.0
65,2017-07-18,Sentinel-1B,S1B_IW_SLC__1SDV_20170718T140428_20170718T140456_006543_00B816_48C3,6.0
66,2017-07-24,Sentinel-1A,S1A_IW_SLC__1SDV_20170724T140555_20170724T140625_017614_01D795_1C21,6.0
67,2017-07-30,Sentinel-1B,S1B_IW_SLC__1SDV_20170730T140428_20170730T140456_006718_00BD13_AE19,6.0
68,2017-08-05,Sentinel-1A,S1A_IW_SLC__1SDV_20170805T140556_20170805T140625_017789_01DCF0_51EF,6.0
69,2017-08-11,Sentinel-1B,S1B_IW_SLC__1SDV_20170811T140429_20170811T140457_006893_00C228_ADB2,6.0
70,2017-08-17,Sentinel-1A,S1A_IW_SLC__1SDV_20170817T140556_20170817T140626_017964_01E23B_B43D,6.0
71,2017-08-23,Sentinel-1B,S1B_IW_SLC__1SDV_20170823T140429_20170823T140457_007068_00C739_D9AB,6.0
72,2017-09-04,Sentinel-1B,S1B_IW_SLC__1SDV_20170904T140430_20170904T140458_007243_00CC4E_0CAB,12.0
73,2017-09-10,Sentinel-1A,S1A_IW_SLC__1SDV_20170910T140557_20170910T140627_018314_01ECED_3D80,6.0
74,2017-09-16,Sentinel-1B,S1B_IW_SLC__1SDV_20170916T140431_20170916T140458_007418_00D177_9556,6.0
75,2017-09-28,Sentinel-1B,S1B_IW_SLC__1SDV_20170928T140431_20170928T140459_007593_00D67D_BF87,12.0
76,2017-10-04,Sentinel-1A,S1A_IW_SLC__1SDV_20171004T140558_20171004T140628_018664_01F7A6_4CAE,6.0
77,2017-10-10,Sentinel-1B,S1B_IW_SLC__1SDV_20171010T140431_20171010T140459_007768_00DB80_9A1F,6.0
